标题：谢尔顿讲黄笑话哈哈哈哈，对艾米的诱惑真的这么大吗 	 链接：https://tieba.baidu.com//p/5550031261 	 发帖人：hey借个微笑 	 发帖时间：2-12 	 回复数量：25 
标题：耳朵和艾米盖的居然是中国的大花被 	 链接：https://tieba.baidu.com//p/4919360851 	 发帖人：碧血星... 	 发帖时间：2016-12 	 回复数量：23 
标题：谢尔顿和艾米去领证结婚，大喜的日子谢尔顿却担心有梅毒？ 	 链接：https://tieba.baidu.com//p/5470836375 	 发帖人：沐K拉哇 	 发帖时间：2017-12 	 回复数量：48 
标题：【2017圣诞节特别篇】BigBang圣诞前夜场景 	 链接：https://tieba.baidu.com//p/5491487196 	 发帖人：jonekingcafa 	 发帖时间：2017-12 	 回复数量：6 
标题：莱丝莉是凶手！ 	 链接：https://tieba.baidu.com//p/5645728889 	 发帖人：fswudi 	 发帖时间：4-12 	 回复数量：2 
标题：记得谢尔顿说过早期火车头下方的轨道铲叫什么来着？好像和牛有关 	 链接：https://tieba.baidu.com//p/5644467559 	 发帖人：梦羽灵泉 	 发帖时间：4-12 	 回复数量：2 
标题：谢耳朵是阿斯伯格综合征患者 	 链接：https://tieba.baidu.com//p/2994885166 	 发帖人：fdckyong 	 发帖时间：2014-04 	 回复数量：13 
标题：谢耳朵貌似是有天才病吧 	 链接：https://tieba.baidu.com//p/5645166583 	 发帖人：lixwei 	 发帖时间：4-12 	 回复数量：7 
标题：我今天才知道。。ponny的演员kelly cucco是个色 	 链接：https://tieba.baidu.com//p/5353219870 	 发帖人：FiveG 	 发帖时间：2017-10 	 回复数量：12 
标题：发现个细思极恐的事 	 链接：https://tieba.baidu.com//p/5350593438 	 发帖人：川前秀夫 	 发帖时间：2017-10 	 回复数量：4 
标题：谁知道这是哪一集？ 	 链接：https://tieba.baidu.com//p/5641587071 	 发帖人：风中的热... 	 发帖时间：4-10 	 回复数量：12 
标题：霍金去世了生活大爆炸会怎么表现 	 链接：https://tieba.baidu.com//p/5642665754 	 发帖人：de2836 	 发帖时间：4-11 	 回复数量：3 
标题：刚看到第六季，故事发生在加州，为什么竟然一个拉丁裔和黑人都没 	 链接：https://tieba.baidu.com//p/5601828271 	 发帖人：野到联合国 	 发帖时间：3-18 	 回复数量：10 
标题：我大raj慢慢开始承包笑点了 	 链接：https://tieba.baidu.com//p/5644744848 	 发帖人：特雷泽盖吧 	 发帖时间：4-12 	 回复数量：1 
标题：我发表了一篇视频贴，大伙来看看吧~ 	 链接：https://tieba.baidu.com//p/5644582823 	 发帖人：做最做最... 	 发帖时间：4-12 	 回复数量：0 
标题：开个帖，记录一下截屏的图，以后拿来发朋友圈 	 链接：https://tieba.baidu.com//p/5555207140 	 发帖人：Tony 	 发帖时间：2-17 	 回复数量：45 
标题：【TBBT】整理了生活大爆炸1-11季。❗超淸 中英双字 	 链接：https://tieba.baidu.com//p/5643782460 	 发帖人：帕拉丁20 	 发帖时间：4-11 	 回复数量：17 
标题：央视将推“绿色”《生活大爆炸》 第一季翻译正在进行 	 链接：https://tieba.baidu.com//p/3016267029 	 发帖人：南十二国 	 发帖时间：2014-05 	 回复数量：7 
标题：有人知道色色碰吗 	 链接：https://tieba.baidu.com//p/5643529958 	 发帖人：fmh之歌45Z2 	 发帖时间：4-11 	 回复数量：0 
标题：我的人物设计和制作 	 链接：https://tieba.baidu.com//p/4788526595 	 发帖人：新日落 	 发帖时间：2016-09 	 回复数量：72 
标题：原来第十季耳朵求婚是有伏笔的，四年前就已经说了。 	 链接：https://tieba.baidu.com//p/5296926312 	 发帖人：成功他弟 	 发帖时间：2017-08 	 回复数量：5 
标题：少年谢尔顿最后放了一个莫斯科郊外的晚上？？ 这是为了啥啊 	 链接：https://tieba.baidu.com//p/5636295650 	 发帖人：you坏坏 	 发帖时间：4-6 	 回复数量：9 
标题：打领带的是谁 	 链接：https://tieba.baidu.com//p/5636055121 	 发帖人：初音酱的粉 	 发帖时间：4-6 	 回复数量：15 
标题：如果我们一路同行，那便风雨同舟；如果我们只是彼此的过客，那便 	 链接：https://tieba.baidu.com//p/5641507475 	 发帖人：文乡贡酒... 	 发帖时间：4-10 	 回复数量：2 
标题：原来肉夹馍就是三明治啊。 	 链接：https://tieba.baidu.com//p/5640615281 	 发帖人：wantsuper3 	 发帖时间：4-9 	 回复数量：1 
标题：#生活大爆炸#这可以做情头了有木有！！ 	 链接：https://tieba.baidu.com//p/5361196737 	 发帖人：JC教主公... 	 发帖时间：2017-10 	 回复数量：9 
标题：谢耳朵结婚了！！！ 	 链接：https://tieba.baidu.com//p/5118424646 	 发帖人：白扬006 	 发帖时间：2017-05 	 回复数量：34 
标题：sheldon的父亲在TBBT里交代过细节吗 	 链接：https://tieba.baidu.com//p/5357109009 	 发帖人：Jemaine 	 发帖时间：2017-10 	 回复数量：4 
标题：分享：石景山苹果园少儿街舞表演 	 链接：https://tieba.baidu.com//p/5487460828 	 发帖人：潘思洁洁洁 	 发帖时间：2017-12 	 回复数量：3 
标题：raj的女朋友都好好看 	 链接：https://tieba.baidu.com//p/4964979271 	 发帖人：荣耀ID 	 发帖时间：2017-02 	 回复数量：62 
标题：【分析】推测挖坑原创截图：七年后TBBT人物的年龄分析，上图！ 	 链接：https://tieba.baidu.com//p/2981164730 	 发帖人：艹野草 	 发帖时间：2014-04 	 回复数量：94 
标题：【整理】TBBT主题曲吉他琴谱 	 链接：https://tieba.baidu.com//p/1784448800 	 发帖人：墙角茕茇 	 发帖时间：2013-05 	 回复数量：32 
标题：有感而发 	 链接：https://tieba.baidu.com//p/5636926409 	 发帖人：nii2010 	 发帖时间：4-7 	 回复数量：3 
标题：霍华德搞笑中文 	 链接：https://tieba.baidu.com//p/5518810982 	 发帖人：2726104 	 发帖时间：1-17 	 回复数量：37 
标题：谢尔顿用的电脑是流弊电脑耶还是DELL！ 	 链接：https://tieba.baidu.com//p/2745946775 	 发帖人：0划过夜空0 	 发帖时间：2014-03 	 回复数量：90 
标题：【TBBT】Howard的情人节礼物 	 链接：https://tieba.baidu.com//p/5551409357 	 发帖人：玺子 	 发帖时间：2-13 	 回复数量：2 
标题：生活大爆炸测试题，你能撑到第几题？ 	 链接：https://tieba.baidu.com//p/5565359914 	 发帖人：是你的辣... 	 发帖时间：2-25 	 回复数量：65 
标题：因为不是喜剧，是悲剧，就说小谢尔顿这部剧很难看？？ 	 链接：https://tieba.baidu.com//p/5499312808 	 发帖人：耳朵Moonpie 	 发帖时间：2017-12 	 回复数量：83 
标题：斯图尔特是不是在被主角化 	 链接：https://tieba.baidu.com//p/5069582477 	 发帖人：炎麟大帝 	 发帖时间：2017-04 	 回复数量：7 
标题：朋友们，有谁知道第十九集演Cynthia的妹子是谁？ 	 链接：https://tieba.baidu.com//p/5636057006 	 发帖人：wmdsshr 	 发帖时间：4-6 	 回复数量：8 
标题：《大爆炸》会提到《头号玩家》吗 	 链接：https://tieba.baidu.com//p/5636455000 	 发帖人：行走的军... 	 发帖时间：4-7 	 回复数量：4 
标题：霍金这集是真人吗？？ 	 链接：https://tieba.baidu.com//p/1803484135 	 发帖人：雨墨寒 	 发帖时间：2012-08 	 回复数量：124 
标题：为毛我就是看不上佩妮。。。大家都喜欢佩妮吗？讨论一下。 	 链接：https://tieba.baidu.com//p/3558524091 	 发帖人：神仙み 	 发帖时间：2015-01 	 回复数量：165 
标题：生活大爆炸惊现《激战2》夏尔手办 	 链接：https://tieba.baidu.com//p/3005693423 	 发帖人：HGhar 	 发帖时间：2014-04 	 回复数量：2 
标题：霍华德的这台电脑是戴尔吗 	 链接：https://tieba.baidu.com//p/5637836715 	 发帖人：pyyz9102lxy 	 发帖时间：4-7 	 回复数量：1 
标题：开个新帖，从今天起，更新爆炸主创们的ins 	 链接：https://tieba.baidu.com//p/5544333608 	 发帖人：宇智波谢... 	 发帖时间：2-7 	 回复数量：124 
标题：有没有感觉LP两口子结了婚反而一点都不亲近？ 	 链接：https://tieba.baidu.com//p/5628235103 	 发帖人：煞丶夜 	 发帖时间：4-1 	 回复数量：5 
标题：求谢尔顿的有趣的话截图 	 链接：https://tieba.baidu.com//p/3509680104 	 发帖人：那一抹红... 	 发帖时间：2015-01 	 回复数量：188 
标题：霍金去世了，谢耳朵得多难过啊。昨天刚刚把第五季翻出来看了一遍 	 链接：https://tieba.baidu.com//p/5595762246 	 发帖人：酱八险瞻 	 发帖时间：3-14 	 回复数量：9 
标题：penny这件衬衫什么牌子啊？ 	 链接：https://tieba.baidu.com//p/5630163096 	 发帖人：安安静静... 	 发帖时间：4-2 	 回复数量：2 
标题：生活大爆炸角色智商排名 	 链接：https://tieba.baidu.com//p/5633124276 	 发帖人：樱放惘 	 发帖时间：4-4 	 回复数量：2 
标题：七年前到底为什么不带sheldon一起挖矿？这个梗没太看懂 	 链接：https://tieba.baidu.com//p/5468164811 	 发帖人：简称顿... 	 发帖时间：2017-12 	 回复数量：27 
标题：这个妹子是谁！感觉她是我在生活大爆炸里看上的第二个妹子 	 链接：https://tieba.baidu.com//p/4342200517 	 发帖人：QuineOliver 	 发帖时间：2016-02 	 回复数量：48 
标题：【TBBT】S08E04熟肉+bt+外挂字幕 	 链接：https://tieba.baidu.com//p/3337269714 	 发帖人：将轨 	 发帖时间：2014-10 	 回复数量：123 
标题：谢耳朵弄个显示器放在有轮子的椅子上到处走是哪一集？ 	 链接：https://tieba.baidu.com//p/5636799181 	 发帖人：secrect000 	 发帖时间：4-7 	 回复数量：0 
标题：看了这么久，觉得这一些人里面就莱纳德人品不行。 	 链接：https://tieba.baidu.com//p/3841146050 	 发帖人：火山冰点 	 发帖时间：2015-06 	 回复数量：59 
标题：【TBBT】S09E24熟肉+集中讨论帖(S09季终) 	 链接：https://tieba.baidu.com//p/4544926749 	 发帖人：将轨 	 发帖时间：2016-05 	 回复数量：311 
标题：【恶搞】第十一季里，伯纳黛特扮成小丑女哈莉·奎恩折磨霍华德 	 链接：https://tieba.baidu.com//p/5290485344 	 发帖人：火枪手达... 	 发帖时间：2017-08 	 回复数量：14 
标题：第六季5集里的奥尔德林是真的奥尔德林吗？ 	 链接：https://tieba.baidu.com//p/1946799999 	 发帖人：lty92 	 发帖时间：2014-03 	 回复数量：37 
标题：（连载）生活大爆炸演员的现实生活 	 链接：https://tieba.baidu.com//p/3952374636 	 发帖人：世界杯球王 	 发帖时间：2015-08 	 回复数量：1257 
标题：生活大爆炸第十一季 	 链接：https://tieba.baidu.com//p/5267446904 	 发帖人：爱民谣的c... 	 发帖时间：2017-08 	 回复数量：16 
标题：这翻译真是666 	 链接：https://tieba.baidu.com//p/5182859003 	 发帖人：大黑猫 	 发帖时间：2017-06 	 回复数量：113 
标题：哈哈哈哈哈太搞笑了 	 链接：https://tieba.baidu.com//p/5635466714 	 发帖人：影视资源... 	 发帖时间：4-6 	 回复数量：0 
标题：找到Howord母亲的照片了 	 链接：https://tieba.baidu.com//p/4197929280 	 发帖人：张志强a0828 	 发帖时间：2015-12 	 回复数量：25 
标题：看《生活大爆炸》你发现这些了吗？ 	 链接：https://tieba.baidu.com//p/5459738917 	 发帖人：戈底斯堡... 	 发帖时间：2017-11 	 回复数量：61 
标题：还有谁记得她 	 链接：https://tieba.baidu.com//p/5522928966 	 发帖人：是你的辣... 	 发帖时间：1-20 	 回复数量：20 
标题：Sim4 自制生活大爆炸场景 	 链接：https://tieba.baidu.com//p/5168004213 	 发帖人：Mira_xxx 	 发帖时间：2017-06 	 回复数量：155 
标题：重温了下第五季，突然发现小谢尔顿里谢尔顿的爹在生活大爆炸里客 	 链接：https://tieba.baidu.com//p/5559042447 	 发帖人：SylviaCJY 	 发帖时间：2-21 	 回复数量：19 
标题：Howard的母亲角色为什么没有了？ 	 链接：https://tieba.baidu.com//p/4991123025 	 发帖人：光辉树 	 发帖时间：2017-02 	 回复数量：15 
标题：大爆炸佩妮的推特号谁能告知？ 	 链接：https://tieba.baidu.com//p/5631651012 	 发帖人：h190772941 	 发帖时间：4-3 	 回复数量：1 
标题：大家的Bigbang都是在哪看的啊，我在人人视频里看到了第三 	 链接：https://tieba.baidu.com//p/5649993414 	 发帖人：可可可可... 	 发帖时间：4-15 	 回复数量：5 
标题：【TBBT】整理了生活大爆炸1-11季。 🆎超淸 中英双字 	 链接：https://tieba.baidu.com//p/5653013792 	 发帖人：你的小掰呀 	 发帖时间：14:46 	 回复数量：2 
标题：有人一起看生活大爆炸嘛！想有吧友一起聊天一起看的加我！玩微光 	 链接：https://tieba.baidu.com//p/5651812079 	 发帖人：清浅余香嗅 	 发帖时间：4-16 	 回复数量：2 
标题：嗯额，生活大爆炸欢迎！。欢迎 	 链接：https://tieba.baidu.com//p/5653132052 	 发帖人：症奁晃波扔 	 发帖时间：15:59 	 回复数量：0 
标题：你们好，贵吧的朋友，能否方便告诉我一下，看TBBT前几季在那 	 链接：https://tieba.baidu.com//p/5652187581 	 发帖人：待我击败... 	 发帖时间：00:31 	 回复数量：3 
标题：你所需，我所有…… 	 链接：https://tieba.baidu.com//p/5653074699 	 发帖人：铮time 	 发帖时间：15:23 	 回复数量：1 
标题：认识很久又很熟悉的女孩，怎么撩到并搞定她？れ胸教 	 链接：https://tieba.baidu.com//p/5652218949 	 发帖人：qq274563450 	 发帖时间：00:59 	 回复数量：2 
标题：【TBBT】整理了生活大爆炸1-11季。  🆎超淸 中英双字 	 链接：https://tieba.baidu.com//p/5652500847 	 发帖人：你的小掰呀 	 发帖时间：09:01 	 回复数量：8 
标题：致所有女神们的一封信 	 链接：https://tieba.baidu.com//p/5652882721 	 发帖人：幸运的熊... 	 发帖时间：13:22 	 回复数量：2 
标题：霍华德这段简直笑死~ 	 链接：https://tieba.baidu.com//p/5391281888 	 发帖人：太保龙珠 	 发帖时间：2017-10 	 回复数量：7 
标题：今天是第250集，期待能拍到300集 	 链接：https://tieba.baidu.com//p/5635815802 	 发帖人：lunan8619 	 发帖时间：4-6 	 回复数量：19 
标题：【TBBT】整理了生活大爆炸1-11季。  🆎超淸 中英双字 	 链接：https://tieba.baidu.com//p/5652104447 	 发帖人：你的小掰呀 	 发帖时间：4-16 	 回复数量：15 
标题：Sheldon应该是四人中婚姻地位最高的 	 链接：https://tieba.baidu.com//p/5645671768 	 发帖人：留黄书 	 发帖时间：4-12 	 回复数量：7 
标题：看了耳朵去年的电影，继《当幸福来敲门》后我第二喜欢的传记电影 	 链接：https://tieba.baidu.com//p/5621897961 	 发帖人：lunan8619 	 发帖时间：3-28 	 回复数量：11 
标题：supernatural第四季第十三集“伯纳黛道特”露了个脸 	 链接：https://tieba.baidu.com//p/4976545847 	 发帖人：谭文星JB 	 发帖时间：2017-02 	 回复数量：13 
标题：【TBBT】《生活大爆炸》第十季熟肉 	 链接：https://tieba.baidu.com//p/5546422491 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量：220 
标题：【TBBT】《生活大爆炸》第十一季熟肉 	 链接：https://tieba.baidu.com//p/5545877734 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量：162 
标题：霍金是要一直活在大爆炸里吗 	 链接：https://tieba.baidu.com//p/5650270429 	 发帖人：OctomaRon 	 发帖时间：4-15 	 回复数量：4 
标题：跪求大神！ 	 链接：https://tieba.baidu.com//p/5649986538 	 发帖人：努力姑娘... 	 发帖时间：4-15 	 回复数量：2 
标题：哇！这不是卡洛琳吗。。。她要跟拉杰什在一起了？ 	 链接：https://tieba.baidu.com//p/5628120603 	 发帖人：宝宝龙贝 	 发帖时间：4-1 	 回复数量：4 
标题：《生活大爆炸》你可能不知道的21件事 	 链接：https://tieba.baidu.com//p/4432137688 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量：374 
标题：注意看右边克莱尔妹纸 	 链接：https://tieba.baidu.com//p/5555130371 	 发帖人：耳朵Moonpie 	 发帖时间：2-17 	 回复数量：34 
标题：又重新刷了一遍发现霍华德父亲的信 	 链接：https://tieba.baidu.com//p/5651636079 	 发帖人：白狼王da 	 发帖时间：4-16 	 回复数量：0 
标题：有人知道色色碰吗 	 链接：https://tieba.baidu.com//p/5651585421 	 发帖人：kulusakeiWsQc 	 发帖时间：4-16 	 回复数量：0 
标题：生活大爆炸里拉杰是什么时候开始能说话的？感觉还是开始在女人面 	 链接：https://tieba.baidu.com//p/5620861522 	 发帖人：寒子秦 	 发帖时间：3-28 	 回复数量：24 
标题：旧事重提 	 链接：https://tieba.baidu.com//p/5651429375 	 发帖人：ytykftft 	 发帖时间：4-16 	 回复数量：0 
标题：【TBBT】生活大爆炸吧2018吧务招募贴 	 链接：https://tieba.baidu.com//p/5545392306 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量：25 
标题：到底更新到几集了？我怎么17集都没有。。 	 链接：https://tieba.baidu.com//p/5635326754 	 发帖人：宝了个蛋s... 	 发帖时间：4-6 	 回复数量：3 
标题：21集中Penny在家和Bernadette 喝的什么酒呀 	 链接：https://tieba.baidu.com//p/2292304648 	 发帖人：Kate_Princess8 	 发帖时间：2013-04 	 回复数量：10 
标题：超想知道Amy用什么软件怎么做到的！ 	 链接：https://tieba.baidu.com//p/5091303492 	 发帖人：海宝老大s... 	 发帖时间：2017-04 	 回复数量：6 
标题：【二十年后】立贴聚炸粉，友谊长存。2034年3月14日晚8点挖坟可好 	 链接：https://tieba.baidu.com//p/2920928623 	 发帖人：艹野草 	 发帖时间：2014-03 	 回复数量：3206 
标题：第五季第二集佩妮带回来的沙发椅里面是什么 	 链接：https://tieba.baidu.com//p/4955347567 	 发帖人：飞鸟予余 	 发帖时间：2017-01 	 回复数量：22 
